prijmeni;jmeno;trida;skola_zkr;skola_nazev;skola_izo
62452;ced63;1.EP;ZŠŠk.Vr;Základní škola;117900729
c9d52;f27f4;1.EP;ZŠKomenského;Základní škola;47463724
cef69;1ab28;1.EP;ZŠRudník;Základní škola a Mateřská škola, Rudník;47466928
a794b;1a363;1.EP;ZŠČerv.Kost.;Základní škola V. Hejny;102254621
53f7b;a3cd6;1.EP;ZŠMládežnická;Základní škola;47463783
4b7be;4d63b;1.EP;ZŠSchulz.SadyDvůrKnL;Základní škola Schulzovy sady;60154721
8479b;3aeab;1.EP;ZŠGorkého;Základní škola kpt. Jaroše, Trutnov, Gorkého 38;47464143
3b7ef;35a7b;1.EP;ZŠMŠ Hořičky;Základní škola a Mateřská škola Hořičky;102254591
bcdc9;2060a;1.EP;ZŠLányÚpice;Základní škola Úpice - Lány;102578923
d61ef;4ea7e;1.EP;ZŠLányÚpice;Základní škola Úpice - Lány;102578923
cd418;cd9fe;1.EP;ZŠSvatoňovice;Základní škola Malé Svatoňovice;49290649
e95eb;7ee9e;1.EP;ZŠDomky;Základní škola;102718881
ba356;1b801;1.EP;ZŠGorkého;Základní škola kpt. Jaroše, Trutnov, Gorkého 38;47464143
60061;a4d45;1.EP;ZŠMládežnická;Základní škola;47463783
729fc;b08c8;1.EP;ZŠMládežnická;Základní škola;47463783
77571;8d749;1.EP;ZŠŠk.Vr;Základní škola;117900729
1d307;d57ba;1.EP;ZŠČerv.Kost.;Základní škola V. Hejny;102254621
2b981;70dbd;1.EP;ZŠMládežnická;Základní škola;47463783
41e4d;31531;1.EP;ZŠ Česká Skalice;Základní škola, Česká Skalice;102254648
61d4c;008bb;1.EP;ZŠMládežnická;Základní škola;47463783
c803d;b16f2;1.EP;ZŠKomenského;Základní škola;47463724
429bb;ccece;1.EP;ZŠČerv.Kost.;Základní škola V. Hejny;102254621
035cc;6e6be;1.EP;ZŠMládežnická;Základní škola;47463783
16d09;476a0;1.EP;ZŠGorkého;Základní škola kpt. Jaroše, Trutnov, Gorkého 38;47464143
0a6b5;47d22;1.EP;ZŠFrimla;Základní škola, Trutnov, R. Frimla 816;47463848
139e4;7886a;1.EP;ZŠGorkého;Základní škola kpt. Jaroše, Trutnov, Gorkého 38;47464143
167e5;5d2d6;1.EP;ZŠMír.Vr.;Základní škola, Vrchlabí, nám. Míru 283;102578974
