prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
0311e;606a8;ZŠŽacléř;;;;30;75,0%;39;78,0%
74a49;26f00;ZŠFriml;2;1;2;18;45,0%;20;40,0%
d9d81;5bd61;ZŠVelPoříčí;3;3;3;14;35,0%;14;28,0%
836c6;ac3bd;ZŠLánov;3;2;2;29;72,5%;25;50,0%
ea26d;1a9b6;ZŠMlád;3;3;3;25;62,5%;16;32,0%
941f8;a5886;ZŠSchuz;2;2;2;10;25,0%;18;36,0%
1f939;56c85;ZŠMlád;2;1;2;32;80,0%;30;60,0%
c7545;0193f;ZŠMlád;1;1;1;29;72,5%;29;58,0%
61bf4;11735;ZŠBerna;2;2;1;19;47,5%;23;46,0%
4d31d;96a00;ZŠRudník;2;3;3;11;27,5%;9;18,0%
b146b;bb2bd;ZŠRadvanice;2;2;3;17;42,5%;15;30,0%
64d11;ff182;ZŠRudník;;3;3;20;50,0%;13;26,0%
f9f4e;f2301;ZŠHosti;3;3;2;16;40,0%;18;36,0%
c82fe;bd948;ZŠDomky;2;2;2;17;42,5%;20;40,0%
ed99f;e6f09;ZŠPilní;2;2;2;9;22,5%;8;16,0%
204a8;41815;ZŠFriml;3;2;2;27;67,5%;28;56,0%
1a6bc;01f65;ZŠGorké;2;1;2;19;47,5%;16;32,0%
4749f;2d6a8;ZŠKomenTrut;2;2;2;20;50,0%;23;46,0%
4514e;0bb36;ZŠŠk.Vr 1336;1;1;1;29;72,5%;32;64,0%
640c7;e3159;ZŠSchuz;2;2;2;32;80,0%;24;48,0%
edbf0;96d88;ZŠMlád;;;;22;55,0%;;
ed442;5f969;ZŠSchuz;3;3;3;16;40,0%;10;20,0%
08181;3afe7;ZŠPoříč;3;4;3;19;47,5%;13;26,0%
8ac7c;1986d;ZŠGorké;2;2;2;19;47,5%;26;52,0%
2e064;07421;ZŠaMŠ Mostek;2;1;2;26;65,0%;26;52,0%
c3dd6;cb290;ZŠBří.Ú;1;2;1;28;70,0%;23;46,0%
0ab56;0b4ec;ZŠFriml;1;1;2;27;67,5%;47;94,0%
33e8d;cd240;ZŠaMŠ Hořičky;2;2;2;22;55,0%;39;78,0%
a918c;574d8;ZŠPodharťDv.Kr.;2;3;2;21;52,5%;18;36,0%
1531b;1c170;ZŠBří.Ú;2;2;1;23;57,5%;22;44,0%
