prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
18772;71d21;ZŠFriml;1;1;1;28;70,0%;37;74,0%
57311;c7571;ZŠFriml;1;1;1;28;70,0%;47;94,0%
aff80;3bb5a;ZŠBíl.T;2;2;2;27;67,5%;40;80,0%
c02a0;ec849;ZŠFriml;2;2;2;32;80,0%;45;90,0%
10ab1;6aaf7;ZŠGorké;1;1;2;23;57,5%;22;44,0%
a1ac2;e2681;ZŠFriml;2;2;2;25;62,5%;34;68,0%
1ecff;8198b;ZŠMaršo;2;2;1;21;52,5%;31;62,0%
e8348;3d2dc;ZŠBíl.T;1;1;1;31;77,5%;35;70,0%
0c964;1e01d;ZŠSchuz;1;2;1;24;60,0%;17;34,0%
38e42;b5cf5;ZŠGorké;2;2;1;19;47,5%;20;40,0%
c7ee8;49485;ZŠŠk.Vr 1336;2;1;1;21;52,5%;28;56,0%
72dea;e2ad4;ZŠŠ.Mlý;2;2;2;30;75,0%;34;68,0%
28c0a;7488b;ZŠMlád;1;1;1;26;65,0%;27;54,0%
f1f9f;fa697;ZŠLánov;3;2;2;25;62,5%;37;74,0%
7f9f9;86704;ZŠHosti;2;2;2;14;35,0%;23;46,0%
e79c9;67cfa;ZŠDomky;2;1;1;35;87,5%;33;66,0%
e8860;22c09;ZŠBerna;1;1;1;32;80,0%;35;70,0%
7454a;ad074;ZŠKomenTrut;;;2;27;67,5%;23;46,0%
c6d0c;21783;ZŠŠk.Vr 1336;1;1;1;12;30,0%;20;40,0%
23957;b5201;ZŠMlád;2;2;2;33;82,5%;33;66,0%
07d52;76f7a;ZŠČerv.Kost.;1;2;2;;;26;52,0%
d5e9b;c60a0;ZŠŠk.Vr 1336;2;2;2;;;30;60,0%
9a23c;497c9;ZŠOstroměř;1;1;1;32;80,0%;32;64,0%
c5079;7ed38;ZŠMír.V;2;3;3;13;32,5%;20;40,0%
f6216;ba2b4;ZŠBří.Ú;2;2;1;22;55,0%;30;60,0%
ce0af;80a98;ZŠLány;2;2;2;24;60,0%;35;70,0%
f5884;a7b5a;ZŠMír.V;2;2;1;29;72,5%;34;68,0%
af883;69dc6;ZŠMír.V;2;2;2;26;65,0%;33;66,0%
8ded4;b3caf;ZŠSvato;3;3;2;23;57,5%;19;38,0%
568e6;d024c;ZŠKomenTrut;1;2;2;25;62,5%;34;68,0%
