prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
28a0c;ba8c5;ZŠČerv.Kost.;3;4;4;23;57,5%;22;44,0%
4e4d0;927cf;ZŠMaršo;1;1;1;36;90,0%;49;98,0%
de94d;fec38;ZŠPodharťDv.Kr.;3;4;4;11;27,5%;20;40,0%
aa22e;64282;ZŠ F.Kupky Dobruška;1;1;2;28;70,0%;33;66,0%
1e5b1;e14c2;ZŠLány;2;2;2;31;77,5%;34;68,0%
2f828;90d48;Gymn.+SOŠVrchlabí;4;4;4;14;35,0%;20;40,0%
074b3;a0096;ZŠPilní;2;2;1;25;62,5%;;
21702;9e455;ZŠLánov;2;3;3;28;70,0%;9;18,0%
fd2cd;d77a0;ZŠKomenTrut;2;2;2;15;37,5%;17;34,0%
aa03e;e6906;ZŠSchuz;2;2;2;25;62,5%;34;68,0%
a4e17;ff84a;ZŠPoříč;2;2;2;27;67,5%;24;48,0%
d8d9d;d96ad;ZŠDomky;3;3;3;7;17,5%;7;14,0%
0e328;054dc;ZŠHosti;2;2;1;28;70,0%;22;44,0%
75ea4;b98b4;ZŠMlád;2;3;2;6;15,0%;17;34,0%
d4925;4c028;ZŠ5.května;3;3;3;24;60,0%;23;46,0%
1dfc2;8c56d;ZŠHosti;3;4;4;19;47,5%;9;18,0%
69861;297f6;ZŠSchuz;2;2;2;15;37,5%;19;38,0%
ea17f;d6047;ZŠMlád;1;2;2;20;50,0%;12;24,0%
b784b;b5194;ZŠPilní;4;4;3;8;20,0%;7;14,0%
4654b;843a8;ZŠaMŠ Hořičky;2;2;1;23;57,5%;23;46,0%
cc922;27d27;ZŠGorké;3;3;4;10;25,0%;6;12,0%
68fed;7a179;ZŠGorké;3;2;2;14;35,0%;10;20,0%
59279;cc6d8;ZŠSchuz;3;3;3;6;15,0%;;
d567e;24ed4;ZŠKomenTrut;4;4;3;20;50,0%;7;14,0%
f44d5;a69a2;ZŠDomky;3;2;2;10;25,0%;16;32,0%
b5cab;4fcee;ZŠLány;2;2;2;25;62,5%;31;62,0%
4ba41;402cb;ZŠFriml;3;3;3;21;52,5%;20;40,0%
