prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
2ad9d;401c6;ZŠPoříč;3;2;2;23;57,5%;12;24,0%
6a565;5dc91;ZŠFriml;3;3;3;11;27,5%;12;24,0%
c24a1;11b3f;ZŠPodharťDv.Kr.;2;2;2;29;72,5%;24;48,0%
854fb;b5620;ZŠMlád;3;3;3;17;42,5%;11;22,0%
4a5b7;12c76;ZŠMír.V;1;1;1;32;80,0%;25;50,0%
8b7f6;5b6cc;ZŠFriml;3;3;4;12;30,0%;15;30,0%
34bfb;bee6b;ZŠBří.Ú;2;2;4;10;25,0%;8;16,0%
ffc16;81f07;ZŠGorké;3;3;3;20;50,0%;29;58,0%
d8947;06243;ZŠSvobo;2;2;2;19;47,5%;17;34,0%
aac49;debff;ZŠDomky;3;3;2;26;65,0%;9;18,0%
ac022;6e5c3;ZŠBří.Ú;2;2;2;21;52,5%;10;20,0%
d0b87;8418d;ZŠDomky;2;2;2;26;65,0%;17;34,0%
6f480;25e7e;ZŠŽacléř;1;1;1;35;87,5%;43;86,0%
b9a51;f074c;ZŠSvobo;2;1;2;24;60,0%;15;30,0%
94379;28899;ZŠRudník;2;2;2;21;52,5%;20;40,0%
eae14;7104f;ZŠSvobo;3;2;2;22;55,0%;13;26,0%
df73b;a002e;ZŠSchuz;1;1;2;22;55,0%;25;50,0%
fc72f;835bf;ZŠKomenTrut;2;2;2;10;25,0%;17;34,0%
52062;dd403;ZŠaZUŠRtyněvPod.;2;3;2;17;42,5%;17;34,0%
0d4e0;65485;ZŠFriml;2;2;2;21;52,5%;23;46,0%
622fb;61923;ZŠPodharťDv.Kr.;3;3;3;25;62,5%;17;34,0%
e0c2a;2f911;ZŠFriml;2;1;2;25;62,5%;35;70,0%
fe9ed;02bdc;ZŠSchuz;1;1;1;26;65,0%;23;46,0%
f1bb6;a9de7;ZŠSvato;2;2;2;16;40,0%;13;26,0%
81bcc;3174c;ZŠaZUŠRtyněvPod.;4;4;4;8;20,0%;10;20,0%
fbed7;ac00b;ZŠSvato;2;2;2;32;80,0%;31;62,0%
15dbc;e26e8;ZŠČes.Skalice;4;3;NH;8;20,0%;13;26,0%
cf22f;ca550;ZŠDomky;3;3;3;23;57,5%;20;40,0%
c191e;7ae9e;ZŠMír.V;1;1;1;31;77,5%;30;60,0%
