prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
e5670;aa055;ZŠSchuz;1;1;2;30;75,0%;26;52,0%
e0fd9;edc25;ZŠČerv.Kost.;1;1;1;28;70,0%;41;82,0%
8f66c;e9dfd;ZŠRadvanice;3;2;2;28;70,0%;29;58,0%
5cf28;57575;Gymn.Trutnov;2;2;2;27;67,5%;34;68,0%
10980;f5258;ZŠBuky;2;1;2;25;62,5%;49;98,0%
1b7e5;8ebb1;ZŠDomky;2;2;2;24;60,0%;24;48,0%
90583;4d1de;ZŠFriml;1;1;1;29;72,5%;32;64,0%
11f44;c55fb;Gymn.+SOŠVrchlabí;3;2;2;34;85,0%;29;58,0%
04d4f;a08cf;Gymn.+SOŠVrchlabí;3;2;2;32;80,0%;35;70,0%
2a37a;02b2d;ZŠPoříč;1;2;1;32;80,0%;32;64,0%
64f12;0e492;ZŠDomky;1;1;1;31;77,5%;28;56,0%
1d345;28ca6;ZŠŽacléř;2;2;2;35;87,5%;32;64,0%
dc32b;e9929;ZŠBří.Ú;2;1;1;30;75,0%;29;58,0%
50996;33b49;ZŠŠ.Mlý;1;2;2;24;60,0%;25;50,0%
27eac;0790c;ZŠČerv.Kost.;2;2;2;21;52,5%;28;56,0%
edbf0;96d88;ZŠMlád;2;2;2;20;50,0%;13;26,0%
a65cc;49c43;ZŠMlád;1;1;2;19;47,5%;32;64,0%
7c66d;ba6b0;ZŠKomenTrut;1;1;1;38;95,0%;43;86,0%
66ba1;5cacf;ZŠDomky;1;2;1;28;70,0%;27;54,0%
0110f;45e64;ZŠKomenTrut;1;1;1;35;87,5%;36;72,0%
e20ed;eb749;Gymn.+SOŠÚpice;3;2;2;28;70,0%;29;58,0%
1022e;087db;Gymn.+SOŠVrchlabí;1;2;1;27;67,5%;42;84,0%
78c1a;54af5;ZŠSvobo;1;1;1;24;60,0%;26;52,0%
89c20;642d6;Gymn.+SOŠVrchlabí;1;1;1;38;95,0%;45;90,0%
c086c;a5569;ZŠSchuz;2;2;2;10;25,0%;13;26,0%
02993;1c69c;ZŠTepl.n.Met.;2;1;2;21;52,5%;12;24,0%
d00a3;8a39e;ZŠPilní;1;1;1;22;55,0%;13;26,0%
ad27f;4fd8e;ZŠMaršo;2;1;1;29;72,5%;29;58,0%
2440a;9f319;ZŠLánov;1;1;1;32;80,0%;47;94,0%
2300f;c1d7b;ZŠBuky;3;2;2;29;72,5%;35;70,0%
