prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
cfecb;3d942;ZŠMlád;3;3;3;14;35,0%;11;22,0%
8a40a;5eb0c;ZŠDomky;2;2;2;21;52,5%;17;34,0%
4e5ce;187df;ZŠSvato;2;2;2;16;40,0%;25;50,0%
e5bfb;b80f1;ZŠKomenTrut;2;2;2;10;25,0%;18;36,0%
69e35;bd104;ZŠMlád;2;2;2;17;42,5%;23;46,0%
4e10c;77d7c;Gymn.+SOŠVrchlabí;2;2;2;24;60,0%;33;66,0%
aad7b;aed95;ZŠRudník;3;3;2;19;47,5%;12;24,0%
ef33c;56712;ZŠKomenTrut;2;2;1;26;65,0%;28;56,0%
5de7c;4f3b6;ZŠLány;3;2;2;16;40,0%;9;18,0%
17959;e2112;ZŠMaršo;2;2;2;28;70,0%;26;52,0%
6c463;c7da1;ZŠPoříč;2;3;3;29;72,5%;21;42,0%
e3d61;ce8b0;ZŠGorké;2;2;2;20;50,0%;24;48,0%
57972;bbe37;ZŠMaršo;2;2;2;20;50,0%;26;52,0%
c5ecb;8ae11;ZŠŽacléř;2;2;2;;;13;26,0%
08700;c8ebc;ZŠŽacléř;2;2;2;18;45,0%;17;34,0%
eeacb;4f45d;ZŠGorké;3;3;2;;;14;28,0%
51119;5a590;ZŠMlád;1;2;2;20;50,0%;13;26,0%
02068;9049d;ZŠKomenTrut;1;2;2;31;77,5%;31;62,0%
9e47e;1a3c0;ZŠHosti;2;2;3;12;30,0%;6;12,0%
aa060;43412;ZŠGorké;x;x;1;19;47,5%;30;60,0%
9759e;a8a94;ZŠGorké;1;2;2;24;60,0%;27;54,0%
93aca;6f9cb;ZŠSvato;2;2;2;18;45,0%;21;42,0%
6ba8f;65d1f;ZŠŽacléř;2;2;2;16;40,0%;25;50,0%
f6d5b;3a9b5;ZŠKomenTrut;1;1;1;24;60,0%;22;44,0%
4e64f;6f315;ZŠDomky;1;2;2;25;62,5%;23;46,0%
80506;262ec;ZŠRadvanice;1;1;3;19;47,5%;13;26,0%
79b26;72274;Gymn.+SOŠÚpice;2;2;2;24;60,0%;23;46,0%
ac558;0cf35;ZŠKomenTrut;2;2;2;30;75,0%;33;66,0%
0e725;f3be7;ZŠTepl.n.Met.;;;;16;40,0%;;
