prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
97a1e;a84ee;ZŠMír.V;3;2;3;17;42,5%;29;58,0%
6e9bd;f24c2;ZŠMír.V;1;1;2;30;75,0%;35;70,0%
73045;ff67a;ZŠ a MŠ Hronov;2;2;2;20;50,0%;26;52,0%
71256;65fc9;#NENÍ_K_DISPOZICI;2;2;2;30;75,0%;29;58,0%
7e1f8;b359f;ZŠFriml;2;1;2;29;72,5%;43;86,0%
3f8f7;ce138;ZŠDomky;2;3;2;23;57,5%;22;44,0%
78dcb;aa286;ZŠMlád;2;1;1;20;50,0%;35;70,0%
203ac;14228;ZŠFriml;3;2;2;15;37,5%;21;42,0%
fee3f;aad75;ZŠFriml;1;2;2;32;80,0%;43;86,0%
7ee20;70312;ZŠMlád;2;2;1;19;47,5%;21;42,0%
4f2d8;5e6dc;ZŠMlád;2;2;2;26;65,0%;28;56,0%
e68d2;588b5;ZŠKomenTrut;3;2;3;24;60,0%;31;62,0%
ef79d;18f67;ZŠČerv.Kost.;2;2;2;33;82,5%;41;82,0%
aa098;e2c6b;ZŠČerv.Kost.;2;2;2;14;35,0%;34;68,0%
483ea;ba150;ZŠPolice;2;3;2;28;70,0%;45;90,0%
1920a;b0264;ZŠRudník;2;1;1;21;52,5%;35;70,0%
60f6d;35f68;ZŠMaršo;2;1;2;18;45,0%;24;48,0%
590da;097fd;ZŠČerv.Kost.;2;2;3;15;37,5%;25;50,0%
5ff71;d3e6d;ZŠDubenec;1;2;1;33;82,5%;36;72,0%
7cca7;6585d;ZŠPolice;4;3;3;29;72,5%;43;86,0%
99d11;fdcd7;ZŠSchuz;2;2;2;26;65,0%;35;70,0%
f83a6;2a634;ZŠMlád;1;2;1;30;75,0%;33;66,0%
9177b;9613e;ZŠMlád;1;2;1;26;65,0%;33;66,0%
76b98;f525f;ZŠKomenTrut;2;3;3;17;42,5%;20;40,0%
85776;4d7d0;ZŠKomenTrut;1;2;2;29;72,5%;30;60,0%
5c8cc;795f6;ZŠMlád;1;2;1;25;62,5%;31;62,0%
a5c4d;1b43c;ZŠKomenTrut;3;2;3;14;35,0%;29;58,0%
3473a;79879;ZŠKomenTrut;1;1;1;32;80,0%;38;76,0%
8ef40;34622;ZŠPilní;1;1;2;16;40,0%;31;62,0%
bc03c;f01bd;ZŠBuky;;;;nepsal;;;
