prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
51717;39c22;ZŠČerv.Kost.;3;3;4;17;42,5%;14;28,0%
cd6ff;fb215;ZŠČerv.Kost.;2;2;2;23;57,5%;32;64,0%
a8cb8;65a8b;ZŠHosti;2;2;2;11;27,5%;16;32,0%
1be8e;88592;ZŠJilemHarracha;3;3;4;19;47,5%;5;10,0%
ff332;2ae41;ZŠKomenTrut;3;3;3;12;30,0%;14;28,0%
22e4a;9519d;ZŠČerv.Kost.;3;3;3;18;45,0%;20;40,0%
644e0;b8b8e;ZŠJilemKom;3;3;3;25;62,5%;20;40,0%
93c37;c9638;ZŠKomenTrut;3;3;3;19;47,5%;12;24,0%
fcd2f;77081;opakuje;;;;15;37,5%;;0,0%
76a05;8517e;ZŠLány;3;3;3;11;27,5%;15;30,0%
a545c;91c6e;ZŠSchuz;4;4;4;19;47,5%;20;40,0%
5b104;e119c;ZŠLány;2;4;4;12;30,0%;17;34,0%
cf217;829da;ZŠLány;3;3;4;11;27,5%;10;20,0%
59b20;9cc2d;ZŠLány;2;3;3;21;52,5%;19;38,0%
b82a8;31ff1;ZŠLány;2;3;3;11;27,5%;17;34,0%
f78d5;e2ebb;ZŠMlád;1;2;2;29;72,5%;25;50,0%
e8326;eebba;opakuje;;;;29;72,5%;;0,0%
75e4c;1a0b7;ZŠMlád;2;2;2;15;37,5%;16;32,0%
3392e;005ff;opakuje;;;;22;55,0%;;0,0%
81fed;8e447;ZŠJilemKom;2;2;2;29;72,5%;36;72,0%
fd643;a935c;ZŠLány;1;2;2;25;62,5%;26;52,0%
