prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
94260;67258;přestup ze STR;3;4;3;8;20,0%;;0,0%
ebb62;390af;ZŠMlád;2;3;3;17;42,5%;12;24,0%
957ce;fc258;ZŠLány;2;2;2;26;65,0%;34;68,0%
b21ef;72341;přestup ze STR;3;3;3;13;32,5%;;0,0%
ea933;1d9a1;ZŠBří.Ú;1;1;1;22;55,0%;31;62,0%
7c1ec;12781;ZŠSvato;2;2;2;34;85,0%;27;54,0%
53ad9;ebf01;přestup z EP;;;;18;45,0%;;0,0%
709e8;be934;ZŠSchuz;3;3;3;24;60,0%;15;30,0%
a6d2a;951f8;ZŠLány;1;2;2;29;72,5%;39;78,0%
09ba2;0f029;ZŠLány;3;2;3;22;55,0%;21;42,0%
ac03a;fc99a;ZŠPoříč;2;2;2;26;65,0%;37;74,0%
62229;d59fd;ZŠFriml;2;3;3;16;40,0%;10;20,0%
3dd44;56c8f;SPŠHradební;;;;18;45,0%;;0,0%
4fc58;e81ee;ZŠSvobo;4;3;3;12;30,0%;11;22,0%
a258c;50c4e;ZŠKomenTrut;2;2;2;13;32,5%;18;36,0%
5943e;8a170;SPŠHradební;;;;25;62,5%;;0,0%
fadf4;6013b;ZŠBerna;1;2;3;14;35,0%;13;26,0%
1f90c;fae0f;ZŠKomenTrut;3;3;3;14;35,0%;14;28,0%
e4fa2;c123b;ZŠMír.V;4;4;3;12;30,0%;11;22,0%
9f7bf;38fe6;ZŠMlád;3;3;3;12;30,0%;9;18,0%
c7a85;fa582;přestup z SOU Lázně Bělohrad;2;2;3;25;62,5%;;0,0%
49f23;04af5;ZŠŠ.Mlý;-;-;2;17;42,5%;8;16,0%
17300;57214;VOŠ a SZŠ;2;3;2;nepsal;;;0,0%
