prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
4999b;bf37d;ZŠBří.Ú;3;2;3;24;60,0%;9;18,0%
b0d16;5cb36;ZŠStržDv.Kr.;3;4;3;nepsal;;9;18,0%
a9969;ffa69;ZŠFriml;2;2;2;26;65,0%;25;50,0%
103cb;851b5;Gymn.+SOŠVrchlabí;3;3;3;19;47,5%;22;44,0%
f66d3;3e5cc;ZŠKomenTrut;2;2;2;26;65,0%;35;70,0%
9c952;f000f;ZŠTepl.n.Met.;3;2;2;15;37,5%;13;26,0%
fc928;3e735;ZŠaZUŠRtyněvPod.;2;2;3;26;65,0%;31;62,0%
e9285;66d87;ZŠNáchKom;1;2;1;27;67,5%;33;66,0%
740ec;48e58;ZŠFriml;1;1;2;21;52,5%;22;44,0%
fd686;a7668;opakuje ročník;;;;12;30,0%;;
d138d;d513e;opakuje ročník;;;;33;82,5%;;
d1481;a2315;ZŠKomenTrut;3;3;2;9;22,5%;16;32,0%
66a60;66204;ZŠFriml;;4;3;14;35,0%;3;6,0%
4e005;b88b5;ZŠHosti;3;3;3;21;52,5%;20;40,0%
3f37e;49fa0;ZŠHosti;3;4;3;11;27,5%;2;4,0%
d0bb5;91b37;ZŠKomenTrut;4;4;4;13;32,5%;11;22,0%
a4bfc;92185;ZŠaZUŠRtyněvPod.;2;2;2;23;57,5%;13;26,0%
dfa23;07f54;opakuje ročník;;;;27;67,5%;;
e7916;3a9b9;ZŠBuky;1;1;1;37;92,5%;38;76,0%
9c215;b4267;ZŠKomenTrut;1;2;2;27;67,5%;29;58,0%
548dc;32bc7;ZŠHosti;3;2;2;28;70,0%;23;46,0%
