prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
12e26;e1a1e;ZŠSchuz;3;3;2;32;80,0%;35;70,0%
c599d;c46fc;ZŠKomenTrut;2;2;2;28;70,0%;32;64,0%
85774;59f51;opakuje ročník;;;;15;37,5%;;
1281e;1ec4b;ZŠFriml;3;3;4;20;50,0%;10;20,0%
4d078;740a6;ZŠFriml;3;3;2;26;65,0%;26;52,0%
5849c;e4952;ZŠHosti;2;2;2;27;67,5%;28;56,0%
54aa0;b4ccb;ZŠŠk.Vr 1336;2;2;2;22;55,0%;14;28,0%
023fc;ee8ba;ZŠSvobo;3;2;3;nepsal;;7;14,0%
fbd1c;472b9;ZŠFriml;2;2;2;19;47,5%;30;60,0%
b16c3;f3340;ZŠRadvanice;2;2;1;23;57,5%;20;40,0%
0b4d5;48211;ZŠLány;3;3;3;22;55,0%;25;50,0%
f7244;a8973;ZŠHorníBranná;2;1;1;33;82,5%;33;66,0%
452d3;c517b;ZŠFriml;2;2;2;26;65,0%;29;58,0%
dd8c9;90c38;ZŠPilní;2;2;2;17;42,5%;13;26,0%
ef5fc;43e51;ZŠSvobo;1;2;2;30;75,0%;25;50,0%
aa963;300e0;ZŠSvobo;2;2;2;14;35,0%;10;20,0%
c48df;660f9;ZŠČerv.Kost.;2;2;2;27;67,5%;26;52,0%
2a170;3a727;ZŠMír.V;2;2;2;26;65,0%;31;62,0%
c3956;a1e40;ZŠKomenTrut;3;3;3;21;52,5%;18;36,0%
9fc5a;2e01a;ZŠPilní;3;3;2;12;30,0%;11;22,0%
e501c;b232e;ZŠLánov;2;2;2;29;72,5%;21;42,0%
0b746;9c17d;ZŠKomenTrut;1;3;2;29;72,5%;15;30,0%
