prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
1b9c7;9284e;ZŠBíláTř.;3;3;4;21;52,5%;12;24,0%
a554d;ec6e4;ZŠDvůrKr.5.května;2;2;2;23;57,5%;30;60,0%
23e11;589a9;ZŠ Strž, Dvůr Králové;2;2;2;21;52,5%;12;24,0%
8b31e;beff5;ZŠPoříčí;1;2;2;38;95,0%;22;44,0%
e055d;53510;ZŠ Strž, Dvůr Králové;3;2;2;17;42,5%;11;22,0%
c6555;ee54c;ZŠSchulz.SadyDvůrKnL;1;2;2;25;62,5%;20;40,0%
a8ee4;82493;ZŠ Žacléř;2;1;1;34;85,0%;40;80,0%
5526b;d20c0;ZŠLányÚpice;3;3;3;21;52,5%;23;46,0%
60bed;e0d1c;ZŠŠk.Vr;3;2;3;25;62,5%;19;38,0%
182e6;bbbba;ZŠŠk.Vr;3;3;3;20;50,0%;10;20,0%
5e533;7fee9;ZŠaMŠ Horní Branná;2;3;3;15;37,5%;26;52,0%
1fd33;660d7;ZŠGorkého;3;3;3;11;27,5%;10;20,0%
336fd;391bd;ZŠBří.ČapkůÚpice;2;1;2;30;75,0%;34;68,0%
402cd;831ac;ZŠSvatoňovice;3;3;3;15;37,5%;12;24,0%
742ae;5f6bf;ZŠ Podharť;2;2;2;24;60,0%;37;74,0%
3b2d3;ac36c;ZŠPoříčí;1;1;1;35;87,5%;28;56,0%
ad43e;8b9a8;ZŠMládežnická;3;3;3;17;42,5%;8;16,0%
ded86;5844f;ZŠBernartice;4;4;4;9;22,5%;4;8,0%
17df6;12583;ZŠMládežnická;3;3;3;9;22,5%;3;6,0%
62543;64c84;ZŠJilemHarracha;4;3;3;21;52,5%;21;42,0%
