prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
62b4d;b0bf7;ZŠ Žacléř;2;1;2;22;55,0%;14;28,0%
037fd;1dd5c;ZŠPilníkov;2;2;3;12;30,0%;8;16,0%
85774;59f51;ZŠSvoboda/Úp.;4;4;4;19;47,5%;13;26,0%
a7149;365e5;ZŠSvatoňovice;3;3;3;18;45,0%;15;30,0%
b0711;2f97e;ZŠBří.ČapkůÚpice;3;3;2;28;70,0%;19;38,0%
bd983;44321;ZŠDomky;2;2;2;26;65,0%;21;42,0%
7b7cd;2593a;ZŠHostinnéK.K.;2;3;2;21;52,5%;13;26,0%
654b4;be10e;ZŠLányÚpice;;;;21;52,5%;;
25f9e;19907;ZŠMládežnická;3;3;3;22;55,0%;13;26,0%
0f044;9741a;ZŠSchulz.SadyDvůrKnL;3;3;3;10;25,0%;10;20,0%
6e2e2;df281;ZŠSvoboda/Úp.;2;2;2;27;67,5%;20;40,0%
b21ef;72341;ZŠKomenského;;;;22;55,0%;;
23ed6;a7873;ZŠaZuŠ Rtyně v Podkrkonoší;2;3;3;21;52,5%;13;26,0%
d4e7b;55706;ZŠBří.ČapkůÚpice;3;3;2;26;65,0%;12;24,0%
c8cff;3c989;ZŠMír.Vr.;2;3;2;27;67,5%;15;30,0%
6e0f7;4704c;ZŠŠk.Vr;3;2;3;25;62,5%;15;30,0%
6388e;d326e;ZŠ Česká Skalice;3;2;1;37;92,5%;23;46,0%
acbc5;74913;ZŠFrimla;3;3;4;16;40,0%;15;30,0%
87b85;f1811;ZŠMír.Vr.;4;4;4;14;35,0%;6;12,0%
ce121;046a5;ZŠ Česká Skalice;3;4;3;24;60,0%;20;40,0%
3a4ef;5c9bb;ZŠPilníkov;2;3;3;23;57,5%;10;20,0%
3f667;c6a8f;ZŠMládežnická;3;3;3;17;42,5%;1;2,0%
5ed4f;75933;ZŠMír.Vr.;1;1;1;31;77,5%;28;56,0%
78adb;c09cd;SPŠHradební;;;;18;45,0%;;
e14f6;c32e6;ZŠHostinnéK.K.;2;1;2;20;50,0%;21;42,0%
08ea0;9a1cc;ZŠBří.ČapkůÚpice;3;3;2;26;65,0%;16;32,0%
8e268;b46be;ZŠRadvanice;2;1;1;27;67,5%;30;60,0%
93c1f;8a235;Gymn. A SOŠ;;;;23;57,5%;;
9d293;0ebda;#NENÍ_K_DISPOZICI;2;2;2;25;62,5%;15;30,0%
c08e3;ae242;ZŠaZuŠ Rtyně v Podkrkonoší;2;3;3;19;47,5%;7;14,0%
