prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
2f688;73694;ZŠLányÚpice;2;3;4;13;32,5%;11;22,0%
c8596;027b1;SŠ sl., obch. a gastr. HK;;;;24;60,0%;;
6ebd8;d8c4b;ZŠKomenského;3;3;3;15;37,5%;10;20,0%
7a9e9;840f3;ZŠKomenského;2;2;2;23;57,5%;26;52,0%
1a789;2cf55;Gymn. A SOŠ;3;4;4;14;35,0%;3;6,0%
06585;8dd97;ZŠHostinnéK.K.;2;2;2;25;62,5%;25;50,0%
dae4c;ca049;ZŠLányÚpice;1;1;2;30;75,0%;21;42,0%
fd686;a7668;ZŠMŠ Lánov;2;3;2;11;27,5%;5;10,0%
d138d;d513e;ZŠHostinnéK.K.;2;2;2;21;52,5%;14;28,0%
af78c;e1bc5;ZŠRadvanice;2;2;2;20;50,0%;13;26,0%
9870f;9e0f4;ZŠDomky;3;2;2;19;47,5%;11;22,0%
e6a40;f3929;ZŠFrimla;2;2;1;27;67,5%;22;44,0%
8c64c;35a58;ZŠGorkého;2;3;2;22;55,0%;5;10,0%
f251f;bfbea;ZŠČerv.Kost.;2;3;3;16;40,0%;12;24,0%
a22ab;091a9;ZŠČerv.Kost.;3;2;4;20;50,0%;9;18,0%
3623e;57345;ZŠLányÚpice;3;3;3;17;42,5%;8;16,0%
0a01c;664c7;ZŠRudník;3;3;3;18;45,0%;16;32,0%
4132a;0e979;ZŠBernartice;1;1;1;29;72,5%;21;42,0%
be20a;e1c1d;ZŠMládežnická;3;3;2;15;37,5%;13;26,0%
10efd;30b6c;ZŠKomenského;3;2;3;26;65,0%;15;30,0%
dfa23;07f54;ZŠČerv.Kost.;3;3;3;18;45,0%;14;28,0%
e8d3b;65ce5;ZŠMládežnická;3;3;2;32;80,0%;17;34,0%
91ab0;f05fa;Gymn. A SOŠ;4;4;4;19;47,5%;12;24,0%
12d48;cfcbd;ZŠHostinnéK.K.;3;2;3;23;57,5%;6;12,0%
9cc3f;1e49e;ZŠČerv.Kost.;3;2;2;32;80,0%;20;40,0%
43a43;fa015;ZŠLányÚpice;2;2;3;20;50,0%;10;20,0%
