prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
50980;a9dd0;ZŠRudník;2;3;4;17;42,5%;14;28,0%
6f6a9;1860f;ZŠaZUŠRtyněvPod.;2;2;3;16;40,0%;15;30,0%
e1005;167cd;ZŠKomenTrut;3;1;2;24;60,0%;29;58,0%
1bf2d;91015;ZŠaZUŠRtyněvPod.;2;1;1;37;92,5%;30;60,0%
0978b;b9014;ZŠDomky;2;2;1;30;75,0%;29;58,0%
e1f77;3c623;ZŠŠk.Vr 1336;1;1;1;23;57,5%;35;70,0%
fbf05;06d5f;ZŠMlád;2;1;1;21;52,5%;20;40,0%
e6224;0f8e5;ZŠŠk.Vr 1336;1;1;1;21;52,5%;19;38,0%
d8fed;db633;ZŠGorké;2;2;2;17;42,5%;12;24,0%
c9fce;ae7de;ZŠPoříč;1;1;1;40;100,0%;43;86,0%
4c7da;b569e;ZŠaZUŠRtyněvPod.;2;2;3;19;47,5%;18;36,0%
14095;968e1;ZŠČerv.Kost.;3;3;3;15;37,5%;15;30,0%
97fb3;f6a3d;ZŠ5.května;3;2;2;11;27,5%;10;20,0%
10be8;36378;ZŠSvato;3;3;2;22;55,0%;20;40,0%
2dda4;6f0c5;ZŠPolice;4;x;3;27;67,5%;27;54,0%
d1b00;bf283;ZŠMír.V;3;2;1;18;45,0%;24;48,0%
273d9;3885d;ZŠLány;1;1;1;26;65,0%;32;64,0%
4ee41;9c69c;ZŠ5.května;2;2;2;26;65,0%;28;56,0%
cbd9e;3b917;Gymn.DKnL;2;1;3;34;85,0%;35;70,0%
85837;80fd2;ZŠHorníBranná;2;2;2;22;55,0%;27;54,0%
8210d;5d6f0;ZŠPoříč;1;1;2;20;50,0%;12;24,0%
a8864;400f8;ZŠDomky;1;1;1;31;77,5%;30;60,0%
1a618;7251a;ZŠBří.Ú;2;2;2;19;47,5%;13;26,0%
66ba1;5cacf;ZŠDomky;2;1;1;17;42,5%;21;42,0%
871f9;09971;ZŠGorké;1;1;2;33;82,5%;36;72,0%
c9ee8;d9412;ZŠRadvanice;2;2;1;16;40,0%;27;54,0%
386db;d96dd;ZŠKomenTrut;1;1;1;33;82,5%;26;52,0%
cd89e;7ba38;ZŠMír.V;2;2;1;15;37,5%;13;26,0%
