prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
de94d;fec38;ZŠPodharťDv.Kr.;;;;16;40,0%;;
91ad6;96c04;ZŠTepl.n.Met.;4;3;4;12;30,0%;10;20,0%
da5ed;f0c24;ZŠaZUŠRtyněvPod.;2;2;3;14;35,0%;9;18,0%
4223f;12df2;ZŠRudník;2;2;3;15;37,5%;4;8,0%
395b8;ae5a1;ZŠKomenTrut;2;2;2;22;55,0%;22;44,0%
9b94a;03150;ZŠBří.Ú;1;1;1;26;65,0%;20;40,0%
57e39;86d5a;ZŠDomky;3;2;3;20;50,0%;18;36,0%
82033;84226;ZŠŠk.Vr 1336;3;3;1;9;22,5%;22;44,0%
bb3d5;910be;ZŠKomenTrut;3;2;3;14;35,0%;13;26,0%
4bc9c;3f8d4;ZŠPoříč;3;3;3;8;20,0%;5;10,0%
067f6;17741;SPŠTrutnov;;;;19;47,5%;;
e7225;21dc9;ZŠaZUŠRtyněvPod.;2;1;1;30;75,0%;27;54,0%
e1857;05389;ZŠBuky;3;1;2;25;62,5%;25;50,0%
c74bf;9944c;ZšaMŠChvalkovice;3;2;2;12;30,0%;12;24,0%
3604b;527ed;ZŠBuky;3;3;3;23;57,5%;14;28,0%
685f3;098a5;ZŠKomenTrut;2;2;2;24;60,0%;24;48,0%
a09df;e46d5;ZŠMlád;2;1;1;14;35,0%;24;48,0%
4a538;73838;ZŠČerv.Kost.;3;2;3;13;32,5%;14;28,0%
7c2bb;908ea;ZŠMaršo;2;1;2;19;47,5%;18;36,0%
e61d0;6a3a7;ZŠSvobo;4;4;3;16;40,0%;10;20,0%
083de;ad413;ZŠGorké;1;2;1;31;77,5%;37;74,0%
31eca;b20fd;ZŠPodharťDv.Kr.;2;2;2;29;72,5%;29;58,0%
34bd5;22c3f;ZŠKomenTrut;2;1;1;33;82,5%;41;82,0%
6e236;0f213;ZŠKomenTrut;1;1;2;27;67,5%;31;62,0%
8a569;f987a;ZŠSvobo;2;1;1;26;65,0%;25;50,0%
bfc25;a80c3;ZŠDomky;3;1;3;19;47,5%;17;34,0%
3580f;6e228;ZŠaZUŠRtyněvPod.;2;1;1;32;80,0%;32;64,0%
da946;a3fdc;ZŠSvato;;chybí přihláška;;14;35,0%;22;44,0%
