prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
3b3d6;0a939;ZŠPodharťDv.Kr.;2;2;2;26;65,0%;28;56,0%
dce71;5b9b2;ZŠČerv.Kost.;3;1;3;22;55,0%;25;50,0%
8fa7e;e4f35;ZŠPilní;;;;18;45,0%;;
75815;7fe78;ZŠČerv.Kost.;2;2;2;23;57,5%;19;38,0%
c7be8;4fbf4;ZŠMlád;2;2;1;17;42,5%;18;36,0%
40dc1;decd8;ZŠHosti;1;1;2;25;62,5%;17;34,0%
51384;d715f;ZŠČerv.Kost.;2;2;2;16;40,0%;19;38,0%
79bf0;9361d;ZŠDomky;2;1;2;19;47,5%;27;54,0%
2c29c;b46b1;ZŠPoříč;1;1;1;29;72,5%;29;58,0%
724a9;959d8;ZŠaZUŠRtyněvPod.;2;2;3;26;65,0%;19;38,0%
10607;53810;ZŠGorké;2;2;1;31;77,5%;28;56,0%
f09d6;580ca;ZŠFriml;2;2;2;25;62,5%;31;62,0%
d0165;e155c;SPŠTrutnov;;;;;;;
e93e5;fe513;ZŠaMŠ Mostek;2;x;2;29;72,5%;26;52,0%
c560c;6832b;ZŠPodharťDv.Kr.;;;;23;57,5%;;
05ac5;4cf20;ZŠPilní;2;2;2;18;45,0%;21;42,0%
e94df;74c49;ZŠMlád;2;1;1;12;30,0%;11;22,0%
d906a;0393e;ZŠPoříč;2;2;2;23;57,5%;19;38,0%
92cba;42b89;ZŠDomky;1;1;1;27;67,5%;26;52,0%
b23d0;f440e;ZŠFriml;3;2;2;25;62,5%;14;28,0%
601c6;d5844;ZŠKomenTrut;2;2;2;19;47,5%;25;50,0%
01155;ad784;ZŠPoříč;2;2;3;37;92,5%;23;46,0%
0bc88;9b198;ZŠStaráPaka;2;2;3;17;42,5%;11;22,0%
b8ea5;95136;ZŠKomenTrut;2;2;1;14;35,0%;14;28,0%
09d27;596c7;ZŠSvato;2;2;3;16;40,0%;23;46,0%
e5f07;07149;Gymn.+SOŠÚpice;2;x;2;25;62,5%;33;66,0%
06388;7082e;ZŠKomenTrut;2;2;2;0;0,0%;8;16,0%
a1009;35be2;ZŠ5.května;3;3;3;17;42,5%;12;24,0%
cfa12;f8743;ZŠStržDv.Kr.;1;S;2;17;42,5%;25;50,0%
4de36;783fe;ZŠTepl.n.Met.;2;2;2;19;47,5%;20;40,0%
