prijmeni;jmeno;skola_zkr;zs_8_1;zs_8_2;zs_9_1;test_body;test_proc;zkouska_body;zkouska_proc
e7c7b;b0c00;ZŠaZUŠRtyněvPod.;3;3;3;19;47,5%;12;24,0%
3c26c;41ed8;ZŠGorké;2;2;2;19;47,5%;31;62,0%
23ead;1eaac;ZŠMlád;1;1;1;24;60,0%;28;56,0%
1b167;87e02;ZŠFriml;2;2;3;15;37,5%;14;28,0%
5905a;8fe0c;ZŠStržDv.Kr.;3;S;3;10;25,0%;9;18,0%
be713;4aef3;ZŠSchuz;2;2;1;29;72,5%;26;52,0%
e69e3;b5fce;ZŠFriml;3;2;2;22;55,0%;16;32,0%
36046;5fbd3;ZŠTřemošnice;3;3;2;19;47,5%;18;36,0%
a1b47;60b58;ZŠNáchKom;3;2;2;24;60,0%;22;44,0%
6e42e;34f14;Gymn.+SOŠVrchlabí;3;3;3;21;52,5%;23;46,0%
7159b;94ad7;ZŠČerv.Kost.;3;3;3;23;57,5%;18;36,0%
2ce60;c9e48;ZŠČerv.Kost.;2;2;1;27;67,5%;30;60,0%
fc892;7d468;ZŠČerv.Kost.;2;2;2;22;55,0%;23;46,0%
cab45;75811;ZŠNáchKom;2;1;2;30;75,0%;29;58,0%
3bde3;888e1;ZŠČerv.Kost.;2;2;2;21;52,5%;23;46,0%
c75c7;23a74;ZŠaZUŠRtyněvPod.;2;2;2;22;55,0%;29;58,0%
fd08f;1dfcc;ZŠKomenTrut;3;2;2;0;0,0%;7;14,0%
dd034;5b30c;SPŠTrutnov;;;;20;50,0%;;
c68e0;9ec2c;ZŠMlád;2;2;3;37;92,5%;17;34,0%
b884b;81b69;ZŠSvato;2;2;2;26;65,0%;31;62,0%
665c6;f028d;ZŠFriml;2;2;2;17;42,5%;17;34,0%
7d554;f5f20;ZŠKomenTrut;2;2;2;21;52,5%;20;40,0%
e2a96;0b6c1;ZŠLánov;2;2;1;31;77,5%;13;26,0%
ba80b;7635a;ZŠKomenTrut;2;2;2;21;52,5%;18;36,0%
af823;eeb58;ZŠKomenTrut;1;1;1;28;70,0%;26;52,0%
